"Priority","Company","Market","Website","Public email","Public phone","Product match","Why it fits","Recommended opening","Status","Checked"
"E6","Atlas Commercial Co. (Kuwait) W.L.L.","Kuwait","https://www.atlaskuwait.com/","atlas@atlaskuwait.com","+965 2208 6600","Film faced plywood; WBP plywood; commercial plywood; MDF; blockboard","Importer, primary stockist and distributor of timber and panel products for construction and joinery","Ask for current film-faced/WBP core, thickness and private-label stock requirements","Initial email sent","2026-08-21"
"E7","Alphaline Enterprises W.L.L.","Manama, Bahrain","https://www.alphalineenterprises.com/","customercare@alphalineenterprises.com","","Chinese and Malaysian film faced plywood; wood products","Small globally sourcing trader that explicitly carries Chinese film-faced plywood for contractors","Ask for current Chinese panel specification and whether it reviews new factory partners","Initial email sent","2026-08-21"
"E8","Tominna Trading W.L.L.","Manama, Bahrain","https://www.tominnawll.com/","info@tominnawll.com","+973 1725 3511","Film faced plywood; construction materials","Building-material importer and wholesaler with recorded film-faced shuttering plywood activity","Ask for current 18 mm shuttering specification, target price level and order volume","Initial email sent","2026-08-21"
"F1","Trade Forest Peru","Lima, Peru","https://www.tradeforestperu.com/","ventas@tradeforestperu.com","+51 922 526 929","Imported double-film phenolic plywood; imported plywood; OSB","Direct importer that explicitly stocks China-origin panels and several double-film phenolic brands","Ask for the 18 mm core, film weight and monthly volume of its main imported brand","Initial email sent","2026-09-02"
"F2","CASSAFORMA Proyectos","Lima, Peru","https://cassaformaproyectos.com/","cprada@cassaformaproyectos.com","+51 997 690 178; +51 989 067 900","18 mm phenolic panels; H20 beams; formwork systems","Formwork specialist supplying 18 mm panels, H20 beams, props and scaffolding throughout Peru","Lead with a combined 18 mm film-faced plywood and H20 beam proposal","Initial email sent","2026-09-02"
"F3","Naturex Company S.A.C.","Lima, Peru","https://naturexcompany.com/productos/","contacto@naturexcompany.com","+51 905 460 972","Film-faced phenolic plywood; pine plywood; finger-joint panels; HDF door skins","Stocks several product categories matching Linstar's construction and furniture-panel ranges","Ask which phenolic plywood and finger-joint panel specifications it imports","Initial email sent to alternate","2026-09-02"
"F4","Hepta Chile","Santiago, Chile","https://heptachile.cl/categoria-producto/terciados/fenolicos/","contacto@heptachile.cl","+56 9 4086 0010","18 mm phenolic formwork plywood; 120 gsm film; formwork accessories","Direct importer selling phenolic panels by closed pallet to contractors and subcontractors","Ask for its target 18 mm construction, film weight, pallet quantity and performance requirement","Initial email sent","2026-09-02"
"F5","Los Teques S.A.","Costa Rica","https://tequescr.com/tableros-de-contrachapado","ventas@tequescr.com","+506 2440 6714; +506 8310 8778","12/15/18 mm phenolic plywood for concrete formwork","Specialist supplier of formwork materials with a clearly defined coated-plywood thickness range","Ask which thickness, core and film surface currently sells fastest","Initial email sent","2026-09-02"
"F6","MB-Triplay","Guadalajara and Queretaro, Mexico","https://www.mbtriplay.mx/","ventas@mbtriplay.mx","+52 333 833 3276; +52 442 210 1217","Plywood; MDF; melamine; concrete-form plywood","Direct importer sourcing from China and other countries with two regional distribution centers","Offer construction and furniture panels and ask which China-origin categories it is reviewing","Initial email sent","2026-09-02"
"F7","Triplay Maya S.A. de C.V.","Mexico City, Mexico","https://www.triplaymaya.com.mx/","ventas@triplaymaya.com.mx","+52 55 5820 468","Imported plywood; wood; particleboard; fibreboard","Direct importer sourcing wood products from Asia, South America and the United States","Ask for current Asian plywood construction, size and monthly purchasing requirement","Initial email sent","2026-09-02"
"F8","Triplay y Maderas Grupo San Juan","Queretaro, Mexico","https://www.triplaymaderasjr.com.mx/","ventas@triplaymaderasjr.com.mx","+52 427 197 8012","Film-faced phenolic plywood; MDO; form plywood; MDF","Construction-wood distributor with dedicated sales for film-face, MDO and formwork plywood","Ask for its main film-face/MDO thickness, surface and volume requirements","Initial email sent","2026-09-02"
"G1","ARMADA Roofing and Facade","Karaganda, Kazakhstan","https://armadacorp.kz/g4101252-laminirovannaya-fanera","armadacorp.kz@gmail.com","+7 702 850 43 43; +7 700 328 77 16","Film faced plywood for formwork; construction materials","Established construction-material seller with several film-faced plywood thicknesses in stock","Ask which thickness, core and film weight it plans to replenish","Initial email sent","2026-09-02"
"G2","1 Opalubka","Kazakhstan","https://1opalubka.kz/fanera-laminirovannaja","opalubka.info@gmail.com","+7 707 735 71 60","Film faced plywood; formwork systems","Specialist formwork supplier with a dedicated film-faced plywood product line and local warehouse","Offer a factory-direct comparison for its current formwork-panel range","Initial email sent","2026-09-02"
"G3","Steelchem","Tashkent, Uzbekistan","https://steelchem.uz/fanera-laminirovannaya-dlya-opalubki/","sales@steelchem.uz","+998 71 208 80 85","Film faced plywood in 6.5-30 mm; construction materials","Lists a broad range of film-faced plywood thicknesses for formwork in Tashkent","Ask which thicknesses and surface grades it imports most regularly","Initial email sent","2026-09-02"
"G4","RMB METWOOD","Tashkent, Uzbekistan","https://rmbmetwood.uz/","rmbmetwood@gmail.com","+998 95 140 11 88","Film faced plywood; H20 beams; formwork systems","Formwork manufacturer and supplier offering film-faced plywood and H20 beams throughout Uzbekistan","Lead with a combined plywood and H20 beam supply proposal","Initial email sent","2026-09-02"
"G5","BVB-Alliance Kyrgyzstan","Bishkek, Kyrgyzstan","https://bvbalyans.kg/metallCatalog/3384/laminirovannaja_fanera_dlja_opalubki/","info@bvbalyans.kg","+996 312 962 366; +996 312 962 643","Wholesale film faced plywood for formwork","Wholesale supplier whose Bishkek page directly invites plywood supply enquiries","Ask for its priority thickness, sheet size and purchasing volume","Initial email sent","2026-09-02"
"G6","BARSO","Bishkek, Kyrgyzstan","https://barso.kg/product-category/fanera/","barsopro@gmail.com","+996 509 555777","Birch film faced plywood; panel formwork","Local formwork supplier with a dedicated film-faced plywood category","Ask whether it is evaluating alternative cores and private-label supply","Initial email sent","2026-09-02"
"G7","Tozon LLC","Dushanbe, Tajikistan","https://tozon.tj/","tozonshop@gmail.com","+992 92 948 5050","Film faced plywood; OSB; chipboard; timber","Local building-material retailer with dedicated formwork plywood and wood-panel categories","Ask which film-faced plywood sizes and panel categories need replenishment","Retried after SPF/DKIM/DMARC setup; SMTP accepted","2026-09-02"
"G8","Ynamdar Tajir","Ashgabat, Turkmenistan","https://ynamdar-tajir.com/shop/products/film_faced_plywood_sunnyplex_16mm","info@ynamdar-tajir.com","+993 64 19 22 29; +993 63 48 11 77","16 mm film faced plywood; building materials","Turkmenistan supplier offering film-faced plywood with nationwide delivery","Ask about demand for 16 mm versus 18 mm panels and required core/film specification","Initial email sent","2026-09-02"
